№    | Дата/время           | Температура  | Осадки (мм) 
-------------------------------------------------------------
1    | 2025-05-14T00:00     | 9.3          | 0.0         
2    | 2025-05-14T01:00     | 8.3          | 0.0         
3    | 2025-05-14T02:00     | 7.2          | 0.0         
4    | 2025-05-14T03:00     | 6.4          | 0.0         
5    | 2025-05-14T04:00     | 5.7          | 0.0         
6    | 2025-05-14T05:00     | 5.6          | 0.0         
7    | 2025-05-14T06:00     | 5.9          | 0.0         
8    | 2025-05-14T07:00     | 7.0          | 0.0         
9    | 2025-05-14T08:00     | 8.4          | 0.0         
10   | 2025-05-14T09:00     | 9.8          | 0.0         
11   | 2025-05-14T10:00     | 10.8         | 0.0         
12   | 2025-05-14T11:00     | 11.2         | 0.0         
13   | 2025-05-14T12:00     | 11.8         | 0.0         
14   | 2025-05-14T13:00     | 12.3         | 0.0         
15   | 2025-05-14T14:00     | 12.7         | 0.0         
16   | 2025-05-14T15:00     | 12.7         | 0.0         
17   | 2025-05-14T16:00     | 12.7         | 0.0         
18   | 2025-05-14T17:00     | 12.5         | 0.0         
19   | 2025-05-14T18:00     | 12.1         | 0.0         
20   | 2025-05-14T19:00     | 11.5         | 0.0         
21   | 2025-05-14T20:00     | 10.5         | 0.0         
22   | 2025-05-14T21:00     | 9.5          | 0.0         
23   | 2025-05-14T22:00     | 8.7          | 0.0         
24   | 2025-05-14T23:00     | 8.3          | 0.0         
